name,distance_km,eccentricity,inclination,mean_longitude,longitude_of_perihelion,longitude_of_ascending_node,period_years,group,colour
Copernicus (a),0,0,0,0,0,0,0,Star,FFF959FF
Janssen (e),2309824,0.05,83.59,0,0,0,0.00201655,Inner planets,D14411FF
Galileo (b),16964640,0,85,0,0,0,0.04011389459,Inner planets,244075FF
Brahe (c),35500080,0.03,84,0,0,0,0.12155756,Inner planets,366394FF
Harriot (f),115311680,0.08,84,0,0,0,0.7115126626,Inner planets,394463FF
Lipperhey (d),891167200,0.13,84,0,0,0,15.26132786,Outer planets,696969FF
